"","ID","SATNAME","COUNTRY","lat","long","alt"
"1",19548,"TDRS 3","US",-9.51340389105911,222.064167646306,35817.9734744026
"2",20253,"FLTSATCOM 8 (USA 46)","US",-12.0897288704235,256.127796310035,35791.8532079785
"3",20776,"SKYNET 4C","UK",-12.5263111860634,306.472582359864,35788.7870093628
"4",21639,"TDRS 5","US",14.6817971030187,105.40677901852,35794.548287658
"5",22314,"TDRS 6","US",-6.84398903328914,225.659165204139,35807.0892223271
"6",22787,"UFO 2 (USA 95)","US",-10.8641863556006,301.138555084258,35798.0416435985
"7",22988,"USA 99","US",0.555794004917363,233.52131788143,35796.4446824183
"8",23331,"ASTRA 1D","SES",3.64771261886763,199.498526922019,35802.1714608655
"9",23435,"USA 107","US",-5.34952457578553,216.952559346204,35803.8719665717
"10",23467,"UFO 4 (USA 108)","US",8.72791076059152,84.2693419762854,35769.2827376338
"11",23553,"AMSC 1","US",8.09339302371748,166.341598709512,35810.122464638
"12",23613,"TDRS 7","US",-2.8877464631356,356.88993702327,35674.0897051372
"13",23628,"USA 113","US",-3.22058956741756,16.3549089478058,35778.3815261027
"14",23712,"USA 115","US",4.65867391547631,182.720289636834,35796.0317509839
"15",23839,"INMARSAT 3-F1","IM",-5.25847232751086,336.659429549684,35773.7553735603
"16",23842,"ASTRA 1F","SES",-0.0374211177523356,316.507288555915,35781.7289430817
"17",23846,"MSAT M1","CA",7.48636658923494,165.095124910612,35803.8424606386
"18",24307,"INMARSAT 3-F2","IM",3.96771112444528,172.720747698342,35892.3882039419
"19",24315,"AMC-1 (GE-1)","SES",2.5981671207211,141.340937887212,35789.5624051061
"20",24674,"INMARSAT 3-F3","IM",1.7811982823799,90.313041542046,35772.0620362752
"21",24713,"AMC-2 (GE-2)","SES",4.57215405572848,187.562443691976,35805.9237721942
"22",24732,"INTELSAT 26 (JCSAT 4)","ITSO",-7.99562839921221,334.543212959309,35781.8241321704
"23",24737,"USA 130","US",-12.9878192896292,279.685194779241,35789.6734603644
"24",24812,"GALAXY 25 (TELSTAR 5)","US",0.946874107099344,179.144780809064,35798.9046822331
"25",24916,"INTELSAT 5 (PAS 5)","US",4.49950590045843,135.219627783109,35787.2161486435
"26",24936,"AMC-3 (GE-3)","SES",1.7133418891487,200.25769653649,35797.2820042769
"27",24957,"NSS 5 (INTELSAT 803)","NETH",-5.00498245329906,322.610841709391,35785.7092517911
"28",25019,"USA 134","US",8.28015779340329,160.793648086354,35814.4755646986
"29",25071,"ASTRA 1G","SES",-3.57226121815341,329.34924695166,35780.0338672877
"30",25153,"INMARSAT 3-F5","IM",2.19232172386968,218.263939333255,35809.8274279616
"31",25258,"UFO 8 (USA 138)","US",6.26536518803666,83.6849871499131,35774.7218288788
"32",25358,"THOR 3","NOR",-3.5352064904282,267.789784524254,35794.080784906
"33",25371,"INTELSAT 805","ITSO",-0.251032400675057,81.3784254011176,35775.3850329403
"34",25462,"ASTRA 2A","SES",-0.646933320490892,12.244345385471,35774.1057925287
"35",25630,"JCSAT 6","JPN",-0.905830223964017,62.2938848052821,35763.406105929
"36",25639,"SKYNET 4E","UK",-9.81253508138243,270.609090960163,35790.821219334
"37",25657,"ASIASAT 3S","AC",-1.11099333390984,58.3075310827503,35769.6414214854
"38",25740,"NIMIQ 1","CA",0.117549136313045,185.726208454774,35799.401855842
"39",25785,"ASTRA 1H","SES",3.35545371167409,205.175583011591,35800.5360999351
"40",25894,"ABS 7 (KOREASAT 3)","SKOR",-0.0575668034993679,28.2827236099123,35777.0763955711
"41",25924,"ABS 6 (LMI 1)","PRC",-0.0192820061800188,71.3074622980529,35776.5684069474
"42",25949,"TELSTAR 12 (ORION 2)","US",2.28571116909864,163.054477899101,35793.4146094798
"43",25954,"AMC-4 (GE-4)","SES",-0.0220370798201955,137.349088936893,35788.7058942279
"44",25967,"UFO 10 (USA 146)","US",-4.04536665384211,249.738102983999,35841.6664269066
"45",26038,"GALAXY 11","US",0.0923456014689564,267.095433031588,35884.8826617996
"46",26052,"USA 148","US",5.34710103773474,92.1796364198317,35775.8923520327
"47",26107,"ASIASTAR","US",-2.73755729735451,17.2296695190332,35767.9314795087
"48",26356,"USA 149","US",10.9262484025299,106.309141662817,35776.7572382012
"49",26369,"EUTE 36A (EUTE W4)","EUTE",-2.03410224431139,319.637523735034,35856.2329603793
"50",26388,"TDRS 8","US",-6.45260839214989,1.88512230344222,35723.8201225147
"51",26451,"INTELSAT 9 (PAS 9)","US",-4.85508570215115,338.330169838268,35780.2837125098
"52",26469,"BRAZILSAT B4","BRAZ",3.02970858183556,180.313019197667,35797.4669100489
"53",26494,"ASTRA 2B","SES",-2.09439130663026,291.492793209913,35793.8993800365
"54",26495,"AMC-7 (GE-7)","SES",0.223858633165259,137.287267691096,35785.2460649538
"55",26554,"NSS 11 (AAP-1)","SES",-0.000971442327762873,88.2495277361891,35778.6354718695
"56",26575,"USA 153","US",-0.67912995084682,46.7371642892176,35778.3911293003
"57",26580,"AMC-6 (GE-6)","SES",0.0310221258732748,189.275652189886,35794.2280223731
"58",26590,"INTELSAT 12 (PAS 12)","ESA",-1.80996158741277,336.439518839885,35781.9391565316
"59",26608,"INTELSAT 1R (PAS 1R)","US",-0.601079504408194,69.3420859459752,35786.2521952539
"60",26624,"ANIK F1","CA",0.00469566370995505,164.949473181204,35784.3348399164
"61",26638,"ASTRA 2D","SES",-2.52514127257692,277.314743370144,35789.486753745
"62",26639,"AMC-8 (GE-8)","SES",-0.00133343014495713,133.281957934643,35789.9741999567
