CDM_ID,CREATED,EMERGENCY_REPORTABLE,TCA,MIN_RNG,PC,SAT_1_ID,SAT_1_NAME,SAT1_OBJECT_TYPE,SAT1_RCS,SAT_1_EXCL_VOL,SAT_2_ID,SAT_2_NAME,SAT2_OBJECT_TYPE,SAT2_RCS,SAT_2_EXCL_VOL
"66073016","2020-12-27 23:19:50.000000","Y","2020-12-30T11:10:44.960000","856","0.0001951321","21014","COSMOS 2112","PAYLOAD","LARGE","5.00","42377","NOAA 16 DEB","DEBRIS","SMALL","1.00"
"66073121","2020-12-27 23:19:39.000000","Y","2020-12-29T03:22:02.715000","252","0.0004660589","26065","ASUSAT","PAYLOAD","MEDIUM","5.00","34813","COSMOS 2251 DEB","DEBRIS","SMALL","1.00"
"66073198","2020-12-27 23:19:36.000000","Y","2020-12-29T15:27:08.991000","89","0.004313572","28057","CBERS 2","PAYLOAD","LARGE","5.00","39675","COSMOS 1867 COOLANT","DEBRIS","SMALL","1.00"
"66073293","2020-12-27 23:19:34.000000","Y","2020-12-28T06:05:08.854000","37","0.0003214361","31406","METEOR 2-6 DEB","DEBRIS","SMALL","1.00","40407","DMSP 5D-2 F13 DEB","DEBRIS","SMALL","1.00"
"66073441","2020-12-27 23:19:35.000000","Y","2020-12-29T14:38:37.764000","66","0.0005385426","37457","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","40704","METEOR 2-11 DEB","DEBRIS","SMALL","1.00"
"66073708","2020-12-27 23:19:36.000000","Y","2020-12-29T15:27:08.991000","89","0.004313572","39675","COSMOS 1867 COOLANT","DEBRIS","SMALL","1.00","28057","CBERS 2","PAYLOAD","LARGE","5.00"
"66073824","2020-12-27 23:19:34.000000","Y","2020-12-28T06:05:08.854000","37","0.0003214361","40407","DMSP 5D-2 F13 DEB","DEBRIS","SMALL","1.00","31406","METEOR 2-6 DEB","DEBRIS","SMALL","1.00"
"66073835","2020-12-27 23:19:35.000000","Y","2020-12-29T14:38:37.764000","66","0.0005385426","40704","METEOR 2-11 DEB","DEBRIS","SMALL","1.00","37457","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"66078516","2020-12-28 00:12:22.000000","Y","2020-12-28T07:32:36.969000","3502","","23045","COSMOS 2275 (GLONASS)","PAYLOAD","LARGE","0.00","25598","SL-12 R/B(2)","ROCKET BODY","MEDIUM","0.00"
"66078926","2020-12-28 00:12:22.000000","Y","2020-12-28T07:32:36.969000","3502","","25598","SL-12 R/B(2)","ROCKET BODY","MEDIUM","0.00","23045","COSMOS 2275 (GLONASS)","PAYLOAD","LARGE","0.00"
"66137129","2020-12-28 10:34:51.000000","Y","2020-12-31T05:10:21.732000","827","0.0002623635","5435","EOLE 1 (CAS-A)","PAYLOAD","LARGE","5.00","47200","RESURS O1 DEB","DEBRIS","SMALL","1.00"
"66137865","2020-12-28 10:34:50.000000","Y","2020-12-30T11:10:44.961000","795","0.0001271686","21014","COSMOS 2112","PAYLOAD","LARGE","5.00","42377","NOAA 16 DEB","DEBRIS","SMALL","1.00"
"66138602","2020-12-28 10:34:26.000000","Y","2020-12-29T03:22:02.700000","178","0.0005941248","26065","ASUSAT","PAYLOAD","MEDIUM","5.00","34813","COSMOS 2251 DEB","DEBRIS","SMALL","1.00"
"66138837","2020-12-28 10:34:22.000000","Y","2020-12-31T02:50:06.228000","102","0.001107459","27436","COSMOS 2389","PAYLOAD","LARGE","5.00","42179","COSMOS 1275 DEB","DEBRIS","SMALL","1.00"
"66139024","2020-12-28 10:34:19.000000","Y","2020-12-29T15:27:08.988000","83","0.002948238","28057","CBERS 2","PAYLOAD","LARGE","5.00","39675","COSMOS 1867 COOLANT","DEBRIS","SMALL","1.00"
"66139539","2020-12-28 10:34:18.000000","Y","2020-12-30T00:29:46.231000","75","0.0001884456","31058","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","85383","UNKNOWN","UNKNOWN","","3.00"
"66139540","2020-12-28 10:34:22.000000","Y","2020-12-28T15:48:19.534000","101","0.0002642377","31062","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","40500","DMSP 5D-2 F13 DEB","DEBRIS","SMALL","1.00"
"66140978","2020-12-28 10:34:17.000000","Y","2020-12-29T14:38:37.738000","68","0.0005674543","37457","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","40704","METEOR 2-11 DEB","DEBRIS","SMALL","1.00"
"66141843","2020-12-28 10:34:19.000000","Y","2020-12-29T15:27:08.988000","83","0.002948238","39675","COSMOS 1867 COOLANT","DEBRIS","SMALL","1.00","28057","CBERS 2","PAYLOAD","LARGE","5.00"
"66142329","2020-12-28 10:34:22.000000","Y","2020-12-28T15:48:19.534000","101","0.0002642377","40500","DMSP 5D-2 F13 DEB","DEBRIS","SMALL","1.00","31062","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"66142346","2020-12-28 10:34:17.000000","Y","2020-12-29T14:38:37.738000","68","0.0005674543","40704","METEOR 2-11 DEB","DEBRIS","SMALL","1.00","37457","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"66144718","2020-12-28 10:34:22.000000","Y","2020-12-31T02:50:06.228000","102","0.001107459","42179","COSMOS 1275 DEB","DEBRIS","SMALL","1.00","27436","COSMOS 2389","PAYLOAD","LARGE","5.00"
"66198254","2020-12-28 17:52:44.000000","Y","2020-12-30T12:07:47.205000","2971","","2379","WESTFORD NEEDLES","DEBRIS","MEDIUM","0.00","46611","CZ-3B R/B","ROCKET BODY","LARGE","0.00"
